"id","order_code","priority","sequence_number","status","created_at","sku","quantity","source_order_id","source_status","source_row"
"ORD-BHPVC","ORD-BHPVC","normal","483","queued","2024-02-03T13:05:02.313594","PRD-K82W-R520363","2","ORD-BHPVC","Pending","520364"
"ORD-KB8WO","ORD-KB8WO","urgent","489","queued","2024-02-03T13:09:17.521717","PRD-YJC8-R233926","4","ORD-KB8WO","Pending","233927"
"ORD-CKG1G","ORD-CKG1G","normal","490","queued","2024-02-03T13:12:53.920395","PRD-XMMI-R168713","5","ORD-CKG1G","Pending","168714"
"ORD-826UY","ORD-826UY","urgent","502","queued","2024-02-03T13:24:33.166175","PRD-STW0-R270395","4","ORD-826UY","Pending","270396"
"ORD-4SDP9","ORD-4SDP9","high","509","queued","2024-02-03T13:30:59.726731","PRD-9HQM-R735037","1","ORD-4SDP9","Pending","735038"
"ORD-T8HE6","ORD-T8HE6","normal","515","queued","2024-02-03T13:38:04.298003","PRD-EWUY-R72376","3","ORD-T8HE6","Pending","72377"
"ORD-MB07D","ORD-MB07D","normal","520","queued","2024-02-03T13:41:33.102987","PRD-SY9I-R776825","4","ORD-MB07D","Pending","776826"
"ORD-1FXCV","ORD-1FXCV","urgent","532","queued","2024-02-03T13:55:43.754464","PRD-RFNI-R541332","1","ORD-1FXCV","Pending","541333"
"ORD-3ON11-R905926","ORD-3ON11-R905926","urgent","544","queued","2024-02-03T14:05:18.552620","PRD-P2W0-R622962","3","ORD-3ON11","Pending","905927"
"ORD-RGPHS","ORD-RGPHS","urgent","556","queued","2024-02-03T14:14:57.051271","PRD-AIG8-R718185","3","ORD-RGPHS","Pending","718186"
"ORD-HVYIZ","ORD-HVYIZ","high","562","queued","2024-02-03T14:21:30.062467","PRD-U1XA-R11047","2","ORD-HVYIZ","Pending","11048"
"ORD-EYIGZ","ORD-EYIGZ","normal","569","queued","2024-02-03T14:33:12.802625","PRD-QQ38-R736152","4","ORD-EYIGZ","Pending","736153"
"ORD-9M5ZJ","ORD-9M5ZJ","high","572","queued","2024-02-03T14:38:11.034404","PRD-Q7Y2-R316221","4","ORD-9M5ZJ","Pending","316222"
"ORD-741QH","ORD-741QH","normal","575","queued","2024-02-03T14:39:36.355418","PRD-2NRE-R828461","5","ORD-741QH","Pending","828462"
"ORD-RK3HZ","ORD-RK3HZ","high","576","queued","2024-02-03T14:40:20.413754","PRD-OT1K-R371513","5","ORD-RK3HZ","Pending","371514"
"ORD-GT3LM","ORD-GT3LM","normal","585","queued","2024-02-03T14:50:08.232815","PRD-FWNL-R429960","2","ORD-GT3LM","Pending","429961"
"ORD-3XTSZ","ORD-3XTSZ","high","594","queued","2024-02-03T14:59:47.146583","PRD-C6FC-R781160","3","ORD-3XTSZ","Pending","781161"
"ORD-AZZVG","ORD-AZZVG","high","650","queued","2024-02-03T16:03:42.132480","PRD-F3RC-R64722","1","ORD-AZZVG","Pending","64723"
"ORD-EHZU9","ORD-EHZU9","high","651","queued","2024-02-03T16:05:57.632097","PRD-OJ4Z-R873219","4","ORD-EHZU9","Pending","873220"
"ORD-IZUSQ","ORD-IZUSQ","normal","665","queued","2024-02-03T16:23:41.447536","PRD-KM9P-R323974","2","ORD-IZUSQ","Pending","323975"
"ORD-GRCSG","ORD-GRCSG","high","671","queued","2024-02-03T16:30:21.040628","PRD-Y01V-R868453","5","ORD-GRCSG","Pending","868454"
"ORD-94QCE","ORD-94QCE","urgent","680","queued","2024-02-03T16:40:51.450136","PRD-PWJ8-R992349","2","ORD-94QCE","Pending","992350"
"ORD-GP3JD","ORD-GP3JD","urgent","690","queued","2024-02-03T16:48:14.818893","PRD-QCT7-R116412","2","ORD-GP3JD","Pending","116413"
"ORD-E72XB","ORD-E72XB","urgent","698","queued","2024-02-03T16:56:33.101077","PRD-7DBS-R325821","2","ORD-E72XB","Pending","325822"
"ORD-4K2ZG","ORD-4K2ZG","urgent","709","queued","2024-02-03T17:05:57.554883","PRD-TBVH-R32722","3","ORD-4K2ZG","Pending","32723"
"ORD-2BXKE","ORD-2BXKE","high","710","queued","2024-02-03T17:09:52.809519","PRD-SVG3-R570384","3","ORD-2BXKE","Pending","570385"
"ORD-24IJ5","ORD-24IJ5","urgent","725","queued","2024-02-03T17:33:30.623712","PRD-3GYB-R588210","5","ORD-24IJ5","Pending","588211"
"ORD-WCZRG","ORD-WCZRG","high","735","queued","2024-02-03T17:41:22.755071","PRD-OO70-R95183","4","ORD-WCZRG","Pending","95184"
"ORD-E6ITW","ORD-E6ITW","normal","743","queued","2024-02-03T17:47:55.834789","PRD-X324-R127729","3","ORD-E6ITW","Pending","127730"
"ORD-SRJNE","ORD-SRJNE","normal","744","queued","2024-02-03T17:48:46.684279","PRD-1JGC-R172315","4","ORD-SRJNE","Pending","172316"
"ORD-0KDHK","ORD-0KDHK","urgent","745","queued","2024-02-03T17:49:34.199508","PRD-5AD4-R263073","2","ORD-0KDHK","Pending","263074"
"ORD-WIXHS","ORD-WIXHS","normal","770","queued","2024-02-03T18:14:05.166489","PRD-H61W-R564147","5","ORD-WIXHS","Pending","564148"
"ORD-1QGWT","ORD-1QGWT","urgent","772","queued","2024-02-03T18:16:08.457472","PRD-9ZVM-R162592","4","ORD-1QGWT","Pending","162593"
"ORD-34AWN","ORD-34AWN","high","774","queued","2024-02-03T18:17:50.724827","PRD-WOUG-R779941","2","ORD-34AWN","Pending","779942"
"ORD-JQRW5","ORD-JQRW5","high","775","queued","2024-02-03T18:19:53.104542","PRD-8M5X-R310166","4","ORD-JQRW5","Pending","310167"
"ORD-JKE0T","ORD-JKE0T","urgent","787","queued","2024-02-03T18:36:47.640621","PRD-WUGP-R343883","5","ORD-JKE0T","Pending","343884"
"ORD-QFDAX","ORD-QFDAX","urgent","790","queued","2024-02-03T18:39:39.689996","PRD-VX6T-R586570","4","ORD-QFDAX","Pending","586571"
"ORD-X3LCI","ORD-X3LCI","high","793","queued","2024-02-03T18:41:08.716924","PRD-6HYZ-R162462","2","ORD-X3LCI","Pending","162463"
"ORD-QOS0S","ORD-QOS0S","normal","805","queued","2024-02-03T18:48:05.023094","PRD-JUVB-R108929","2","ORD-QOS0S","Pending","108930"
"ORD-QJBAZ","ORD-QJBAZ","urgent","816","queued","2024-02-03T19:01:52.335563","PRD-RMMB-R560813","1","ORD-QJBAZ","Pending","560814"
"ORD-S7E6G","ORD-S7E6G","normal","829","queued","2024-02-03T19:13:31.260765","PRD-I0HX-R337943","1","ORD-S7E6G","Pending","337944"
"ORD-2YK95","ORD-2YK95","normal","841","queued","2024-02-03T19:26:36.064301","PRD-W1C3-R578387","1","ORD-2YK95","Pending","578388"
"ORD-R9P5Q","ORD-R9P5Q","urgent","854","queued","2024-02-03T19:37:45.776149","PRD-T19R-R906855","3","ORD-R9P5Q","Pending","906856"
"ORD-CFRBE","ORD-CFRBE","urgent","858","queued","2024-02-03T19:41:57.115376","PRD-VEEP-R733481","1","ORD-CFRBE","Pending","733482"
"ORD-XJPJY","ORD-XJPJY","normal","859","queued","2024-02-03T19:42:28.666574","PRD-J7LY-R712931","4","ORD-XJPJY","Pending","712932"
"ORD-BD7CZ","ORD-BD7CZ","normal","876","queued","2024-02-03T20:00:17.986114","PRD-R6Y7-R890797","2","ORD-BD7CZ","Pending","890798"
"ORD-7IUZP","ORD-7IUZP","urgent","879","queued","2024-02-03T20:00:36.393894","PRD-G7OT-R61730","1","ORD-7IUZP","Pending","61731"
"ORD-JIT1L","ORD-JIT1L","normal","901","queued","2024-02-03T20:21:17.952263","PRD-NCPE-R27252","4","ORD-JIT1L","Pending","27253"
"ORD-SYORR","ORD-SYORR","urgent","908","queued","2024-02-03T20:29:29.440803","PRD-TRGT-R870738","2","ORD-SYORR","Pending","870739"
"ORD-8N0BB","ORD-8N0BB","urgent","911","queued","2024-02-03T20:33:21.827650","PRD-AQNU-R164584","2","ORD-8N0BB","Pending","164585"
"ORD-0Y6YZ","ORD-0Y6YZ","normal","924","queued","2024-02-03T20:47:15.582622","PRD-AJ3Q-R375752","1","ORD-0Y6YZ","Pending","375753"
"ORD-9E9M2","ORD-9E9M2","normal","929","queued","2024-02-03T20:53:41.073689","PRD-HHSI-R454767","2","ORD-9E9M2","Pending","454768"
"ORD-B39OD","ORD-B39OD","urgent","948","queued","2024-02-03T21:15:42.125574","PRD-RFOA-R988559","4","ORD-B39OD","Pending","988560"
"ORD-6QQU4","ORD-6QQU4","high","950","queued","2024-02-03T21:17:43.063291","PRD-XJ6L-R91502","5","ORD-6QQU4","Pending","91503"
"ORD-KIE3F","ORD-KIE3F","normal","953","queued","2024-02-03T21:19:28.827747","PRD-SVI9-R260613","5","ORD-KIE3F","Pending","260614"
"ORD-T3OW3","ORD-T3OW3","urgent","958","queued","2024-02-03T21:28:57.550452","PRD-954M-R918811","2","ORD-T3OW3","Pending","918812"
"ORD-NOZXG","ORD-NOZXG","normal","965","queued","2024-02-03T21:38:51.299405","PRD-T3Q0-R993367","2","ORD-NOZXG","Pending","993368"
"ORD-196BJ","ORD-196BJ","high","969","queued","2024-02-03T21:48:56.795361","PRD-428Q-R904187","5","ORD-196BJ","Pending","904188"
"ORD-VI097","ORD-VI097","normal","970","queued","2024-02-03T21:49:02.085038","PRD-CRVY-R909939","4","ORD-VI097","Pending","909940"
"ORD-8WP9H","ORD-8WP9H","normal","983","queued","2024-02-03T21:55:56.454016","PRD-G7HK-R57664","3","ORD-8WP9H","Pending","57665"
"ORD-R0772","ORD-R0772","urgent","986","queued","2024-02-03T22:01:30.086827","PRD-M66O-R193493","4","ORD-R0772","Pending","193494"
"ORD-S63VR","ORD-S63VR","urgent","1005","queued","2024-02-03T22:18:14.198323","PRD-D93W-R175527","5","ORD-S63VR","Pending","175528"
"ORD-QFP5F","ORD-QFP5F","normal","1008","queued","2024-02-03T22:23:52.924401","PRD-XJU5-R800780","2","ORD-QFP5F","Pending","800781"
"ORD-QZSQ2","ORD-QZSQ2","normal","1016","queued","2024-02-03T22:37:18.687848","PRD-4VRU-R192812","2","ORD-QZSQ2","Pending","192813"
"ORD-LRUHV","ORD-LRUHV","urgent","1017","queued","2024-02-03T22:37:39.756267","PRD-KVEI-R400031","4","ORD-LRUHV","Pending","400032"
"ORD-3F3AG","ORD-3F3AG","high","1036","queued","2024-02-03T22:59:45.699958","PRD-NQTO-R467784","5","ORD-3F3AG","Pending","467785"
"ORD-DFDI6","ORD-DFDI6","high","1039","queued","2024-02-03T23:01:33.833650","PRD-F4YU-R936578","5","ORD-DFDI6","Pending","936579"
"ORD-RHFIE","ORD-RHFIE","normal","1050","queued","2024-02-03T23:18:55.025798","PRD-J23B-R117679","5","ORD-RHFIE","Pending","117680"
"ORD-CLU2E","ORD-CLU2E","urgent","1064","queued","2024-02-03T23:33:08.581120","PRD-G2T0-R930433","5","ORD-CLU2E","Pending","930434"
"ORD-FV7T5","ORD-FV7T5","high","1081","queued","2024-02-03T23:56:11.006124","PRD-RDLQ-R171229","2","ORD-FV7T5","Pending","171230"
"ORD-21AG6","ORD-21AG6","normal","1088","queued","2024-02-04T00:02:27.528937","PRD-9YT8-R11977","3","ORD-21AG6","Pending","11978"
"ORD-R27XJ","ORD-R27XJ","normal","1098","queued","2024-02-04T00:14:40.904169","PRD-OUS9-R942849","1","ORD-R27XJ","Pending","942850"
"ORD-W02X2","ORD-W02X2","high","1099","queued","2024-02-04T00:14:55.104282","PRD-VP42-R281691","5","ORD-W02X2","Pending","281692"
"ORD-3GZHM","ORD-3GZHM","normal","1107","queued","2024-02-04T00:19:54.086334","PRD-VLLT-R150471","5","ORD-3GZHM","Pending","150472"
"ORD-Q8XIF","ORD-Q8XIF","high","1108","queued","2024-02-04T00:20:14.670454","PRD-B3KK-R214957","3","ORD-Q8XIF","Pending","214958"
"ORD-AOE37","ORD-AOE37","normal","1130","queued","2024-02-04T00:43:42.470146","PRD-V22X-R463693","5","ORD-AOE37","Pending","463694"
"ORD-P1S7Z","ORD-P1S7Z","high","1138","queued","2024-02-04T00:49:43.503183","PRD-8Y2N-R243610","4","ORD-P1S7Z","Pending","243611"
"ORD-UAHPY","ORD-UAHPY","high","1143","queued","2024-02-04T00:53:25.297313","PRD-6CBX-R338975","1","ORD-UAHPY","Pending","338976"
"ORD-G3WKL","ORD-G3WKL","urgent","1169","queued","2024-02-04T01:14:35.588195","PRD-M45W-R283860","2","ORD-G3WKL","Pending","283861"
"ORD-ZZ8NH","ORD-ZZ8NH","urgent","1177","queued","2024-02-04T01:20:02.090871","PRD-1AUQ-R768492","5","ORD-ZZ8NH","Pending","768493"
"ORD-LO4KM","ORD-LO4KM","high","1178","queued","2024-02-04T01:21:25.556208","PRD-L1JA-R550250","2","ORD-LO4KM","Pending","550251"
"ORD-Y3R6M","ORD-Y3R6M","normal","1183","queued","2024-02-04T01:22:18.309490","PRD-CSI3-R603452","5","ORD-Y3R6M","Pending","603453"
"ORD-B4KUC","ORD-B4KUC","high","1192","queued","2024-02-04T01:30:00.302671","PRD-GSAS-R217986","1","ORD-B4KUC","Pending","217987"
"ORD-70HIQ","ORD-70HIQ","urgent","1209","queued","2024-02-04T01:45:55.042607","PRD-RXXC-R76261","3","ORD-70HIQ","Pending","76262"
"ORD-YA8N6","ORD-YA8N6","urgent","1219","queued","2024-02-04T01:51:06.513845","PRD-KZ7F-R867970","4","ORD-YA8N6","Pending","867971"
"ORD-XAZ27","ORD-XAZ27","normal","1225","queued","2024-02-04T01:55:14.104223","PRD-A6N2-R33808","2","ORD-XAZ27","Pending","33809"
"ORD-D9F59","ORD-D9F59","normal","1244","queued","2024-02-04T02:11:19.071318","PRD-MO0U-R92817","5","ORD-D9F59","Pending","92818"
"ORD-PYX9F","ORD-PYX9F","normal","1250","queued","2024-02-04T02:25:35.827002","PRD-OWMI-R345735","5","ORD-PYX9F","Pending","345736"
"ORD-NP0GL","ORD-NP0GL","urgent","1259","queued","2024-02-04T02:36:40.447356","PRD-F876-R342905","5","ORD-NP0GL","Pending","342906"
"ORD-TCOAK","ORD-TCOAK","high","1280","queued","2024-02-04T02:52:27.108831","PRD-TVX1-R849406","4","ORD-TCOAK","Pending","849407"
"ORD-CZGOV","ORD-CZGOV","normal","1281","queued","2024-02-04T02:52:40.308373","PRD-HQWL-R608617","5","ORD-CZGOV","Pending","608618"
"ORD-YJIR9","ORD-YJIR9","urgent","1305","queued","2024-02-04T03:10:55.770303","PRD-2PKZ-R274351","5","ORD-YJIR9","Pending","274352"
"ORD-7717P","ORD-7717P","high","1353","queued","2024-02-04T04:04:01.604501","PRD-KOKY-R4635","3","ORD-7717P","Pending","4636"
"ORD-WMFIZ","ORD-WMFIZ","urgent","1358","queued","2024-02-04T04:08:45.318223","PRD-05T0-R581422","2","ORD-WMFIZ","Pending","581423"
"ORD-AHJFE","ORD-AHJFE","high","1359","queued","2024-02-04T04:10:12.346381","PRD-SZGP-R977046","5","ORD-AHJFE","Pending","977047"
"ORD-UNRRL","ORD-UNRRL","high","1373","queued","2024-02-04T04:24:09.454875","PRD-O0SX-R128847","2","ORD-UNRRL","Pending","128848"
"ORD-S3XD0","ORD-S3XD0","urgent","1375","queued","2024-02-04T04:24:32.747585","PRD-ASNP-R834605","2","ORD-S3XD0","Pending","834606"
"ORD-23LZ1","ORD-23LZ1","high","1376","queued","2024-02-04T04:25:18.732587","PRD-JIDF-R197223","3","ORD-23LZ1","Pending","197224"
"ORD-87AKY","ORD-87AKY","normal","1379","queued","2024-02-04T04:26:06.202404","PRD-LDBQ-R483566","1","ORD-87AKY","Pending","483567"
"ORD-L2R3C","ORD-L2R3C","normal","1408","queued","2024-02-04T04:50:54.512552","PRD-0XMD-R920277","5","ORD-L2R3C","Pending","920278"
"ORD-DFQ3C","ORD-DFQ3C","high","1443","queued","2024-02-04T05:22:26.401064","PRD-4OEP-R899522","5","ORD-DFQ3C","Pending","899523"
"ORD-7XJDT","ORD-7XJDT","normal","1451","queued","2024-02-04T05:31:37.125944","PRD-9XKQ-R69933","1","ORD-7XJDT","Pending","69934"
"ORD-XTFOP","ORD-XTFOP","urgent","1453","queued","2024-02-04T05:33:36.092531","PRD-EZ4Y-R743523","3","ORD-XTFOP","Pending","743524"
"ORD-VER6Y","ORD-VER6Y","normal","1463","queued","2024-02-04T05:44:22.180240","PRD-5R9R-R647623","1","ORD-VER6Y","Pending","647624"
"ORD-KP6JV","ORD-KP6JV","normal","1472","queued","2024-02-04T05:50:35.952263","PRD-XJ88-R235319","3","ORD-KP6JV","Pending","235320"
"ORD-WEAPN","ORD-WEAPN","normal","1482","queued","2024-02-04T06:00:01.354571","PRD-65C1-R471468","1","ORD-WEAPN","Pending","471469"
"ORD-73SPD","ORD-73SPD","high","1523","queued","2024-02-04T06:27:10.041142","PRD-4BYU-R679224","1","ORD-73SPD","Pending","679225"
"ORD-FUG28","ORD-FUG28","urgent","1547","queued","2024-02-04T06:51:05.508110","PRD-ZGVX-R703660","3","ORD-FUG28","Pending","703661"
"ORD-R9TRU","ORD-R9TRU","urgent","1550","queued","2024-02-04T06:52:09.053931","PRD-FA7C-R983554","3","ORD-R9TRU","Pending","983555"
"ORD-QUULH","ORD-QUULH","high","1589","queued","2024-02-04T07:41:50.854824","PRD-ZQL2-R982932","1","ORD-QUULH","Pending","982933"
"ORD-UC3IK","ORD-UC3IK","urgent","1594","queued","2024-02-04T07:48:17.565288","PRD-JLKZ-R272671","1","ORD-UC3IK","Pending","272672"
"ORD-0LV04","ORD-0LV04","urgent","1599","queued","2024-02-04T07:55:13.152230","PRD-XT42-R594064","3","ORD-0LV04","Pending","594065"
"ORD-IIB1H","ORD-IIB1H","normal","1622","queued","2024-02-04T08:10:25.537829","PRD-6TXQ-R941099","4","ORD-IIB1H","Pending","941100"
"ORD-6236L","ORD-6236L","urgent","1635","queued","2024-02-04T08:27:29.061999","PRD-W9S4-R823644","4","ORD-6236L","Pending","823645"
"ORD-AI44T","ORD-AI44T","urgent","1636","queued","2024-02-04T08:28:16.725796","PRD-3E91-R87722","3","ORD-AI44T","Pending","87723"
"ORD-5FHTD","ORD-5FHTD","high","1641","queued","2024-02-04T08:34:22.328382","PRD-TZ38-R728743","3","ORD-5FHTD","Pending","728744"
"ORD-DMS9P","ORD-DMS9P","high","1661","queued","2024-02-04T08:57:12.864544","PRD-RJGF-R508817","2","ORD-DMS9P","Pending","508818"
"ORD-67NWY","ORD-67NWY","high","1663","queued","2024-02-04T09:01:28.406615","PRD-I4IH-R218468","5","ORD-67NWY","Pending","218469"
"ORD-UM46E","ORD-UM46E","normal","1665","queued","2024-02-04T09:03:20.068445","PRD-9YOM-R651120","3","ORD-UM46E","Pending","651121"
"ORD-NNQB3","ORD-NNQB3","urgent","1669","queued","2024-02-04T09:08:15.611644","PRD-O4G7-R631352","3","ORD-NNQB3","Pending","631353"
"ORD-7ZQA1","ORD-7ZQA1","high","1672","queued","2024-02-04T09:11:05.966302","PRD-8LIK-R406235","1","ORD-7ZQA1","Pending","406236"
"ORD-WE7PM","ORD-WE7PM","normal","1679","queued","2024-02-04T09:20:58.617497","PRD-DN13-R78261","3","ORD-WE7PM","Pending","78262"
"ORD-9080U","ORD-9080U","high","1694","queued","2024-02-04T09:33:26.902438","PRD-NSXL-R889213","4","ORD-9080U","Pending","889214"
