"id","sku","name","category","stock","reorder_level","created_at","updated_at","source_product_id"
"PRD-K8IZ-R591382","PRD-K8IZ-R591382","LED Strip Lights 5m","Home","720","0","2024-02-03T07:48:17.842621","2024-02-03T07:48:17.842621","PRD-K8IZ"
"PRD-LAXD-R141869","PRD-LAXD-R141869","Power Bank 20000mAh","Electronics","890","0","2024-02-03T07:50:54.529806","2024-02-03T07:50:54.529806","PRD-LAXD"
"PRD-EEV6-R122475","PRD-EEV6-R122475","Exercise Ball","Sports","512","0","2024-02-03T07:58:11.006528","2024-02-03T07:58:11.006528","PRD-EEV6"
"PRD-L4ZU-R335970","PRD-L4ZU-R335970","Gym Gloves","Sports","575","0","2024-02-03T08:14:33.072893","2024-02-03T08:14:33.072893","PRD-L4ZU"
"PRD-MZSW-R670977","PRD-MZSW-R670977","Digital Thermometer","Health","941","0","2024-02-03T08:45:14.085159","2024-02-03T08:45:14.085159","PRD-MZSW"
"PRD-STYT-R924552","PRD-STYT-R924552","Hooded Sweatshirt","Clothing","977","0","2024-02-03T08:47:33.821856","2024-02-03T08:47:33.821856","PRD-STYT"
"PRD-MI9I-R193865","PRD-MI9I-R193865","Running Shoes Air Zoom","Clothing","598","0","2024-02-03T08:57:26.691077","2024-02-03T08:57:26.691077","PRD-MI9I"
"PRD-KKLC-R679870","PRD-KKLC-R679870","Desk Lamp LED","Home","751","0","2024-02-03T08:58:20.905293","2024-02-03T08:58:20.905293","PRD-KKLC"
"PRD-4K0L-R956662","PRD-4K0L-R956662","Vacuum Robot Cleaner","Home","951","0","2024-02-03T09:31:21.457796","2024-02-03T09:31:21.457796","PRD-4K0L"
"PRD-4R9R-R21538","PRD-4R9R-R21538","Vitamin C Tablets","Health","173","0","2024-02-03T09:37:24.195673","2024-02-03T09:37:24.195673","PRD-4R9R"
"PRD-T3FZ-R170382","PRD-T3FZ-R170382","Protein Shaker Bottle","Health","780","0","2024-02-03T09:47:43.157142","2024-02-03T09:47:43.157142","PRD-T3FZ"
"PRD-9QVS-R641804","PRD-9QVS-R641804","Fitness Smart Band","Health","858","0","2024-02-03T09:57:03.691357","2024-02-03T09:57:03.691357","PRD-9QVS"
"PRD-282Q-R309776","PRD-282Q-R309776","USB-C Fast Charger 65W","Electronics","893","0","2024-02-03T10:00:37.836278","2024-02-03T10:00:37.836278","PRD-282Q"
"PRD-GHHX-R24647","PRD-GHHX-R24647","Exercise Ball","Sports","413","0","2024-02-03T10:05:28.438471","2024-02-03T10:05:28.438471","PRD-GHHX"
"PRD-ZHJH-R605604","PRD-ZHJH-R605604","Protein Shaker Bottle","Health","766","0","2024-02-03T10:11:13.600914","2024-02-03T10:11:13.600914","PRD-ZHJH"
"PRD-G0PJ-R276036","PRD-G0PJ-R276036","Yoga Mat Non-Slip","Health","743","0","2024-02-03T10:21:26.547748","2024-02-03T10:21:26.547748","PRD-G0PJ"
"PRD-RNIM-R365288","PRD-RNIM-R365288","Yoga Mat Non-Slip","Health","8","0","2024-02-03T11:10:24.573233","2024-02-03T11:10:24.573233","PRD-RNIM"
"PRD-26XS-R128448","PRD-26XS-R128448","Resistance Bands Set","Health","332","0","2024-02-03T11:16:40.067327","2024-02-03T11:16:40.067327","PRD-26XS"
"PRD-PVWZ-R708253","PRD-PVWZ-R708253","Screen Protector Tempered Glass","Electronics","991","0","2024-02-03T11:25:11.285843","2024-02-03T11:25:11.285843","PRD-PVWZ"
"PRD-8FH5-R755951","PRD-8FH5-R755951","Denim Jeans Slim Fit","Clothing","190","0","2024-02-03T11:34:18.028671","2024-02-03T11:34:18.028671","PRD-8FH5"
"PRD-DTY9-R360857","PRD-DTY9-R360857","Storage Box Set","Home","683","0","2024-02-03T11:39:51.743983","2024-02-03T11:39:51.743983","PRD-DTY9"
"PRD-3954-R970593","PRD-3954-R970593","Phone Case Shockproof","Electronics","231","0","2024-02-03T12:00:48.367152","2024-02-03T12:00:48.367152","PRD-3954"
"PRD-OOLO-R181857","PRD-OOLO-R181857","USB Hub 7-Port","Electronics","89","0","2024-02-03T12:12:40.680559","2024-02-03T12:12:40.680559","PRD-OOLO"
"PRD-AO28-R686705","PRD-AO28-R686705","Coffee Maker Automatic","Home","303","0","2024-02-03T12:14:24.532515","2024-02-03T12:14:24.532515","PRD-AO28"
"PRD-AGCD-R976837","PRD-AGCD-R976837","Protein Shaker Bottle","Health","298","0","2024-02-03T12:22:12.714608","2024-02-03T12:22:12.714608","PRD-AGCD"
"PRD-8DUX-R92946","PRD-8DUX-R92946","Yoga Pants Leggings","Clothing","960","0","2024-02-03T12:23:25.293234","2024-02-03T12:23:25.293234","PRD-8DUX"
"PRD-X5XM-R868153","PRD-X5XM-R868153","Yoga Pants Leggings","Clothing","963","0","2024-02-03T12:26:37.504663","2024-02-03T12:26:37.504663","PRD-X5XM"
"PRD-GO6M-R689742","PRD-GO6M-R689742","Storage Box Set","Home","489","0","2024-02-03T12:27:03.786292","2024-02-03T12:27:03.786292","PRD-GO6M"
"PRD-N3N3-R580352","PRD-N3N3-R580352","Laptop Backpack Waterproof","Electronics","949","0","2024-02-03T12:28:05.067516","2024-02-03T12:28:05.067516","PRD-N3N3"
"PRD-ITUK-R857052","PRD-ITUK-R857052","Smart Watch Series 8","Electronics","425","0","2024-02-03T12:33:51.761440","2024-02-03T12:33:51.761440","PRD-ITUK"
"PRD-U1FW-R199897","PRD-U1FW-R199897","Smart Watch Series 8","Electronics","766","0","2024-02-03T12:37:48.779071","2024-02-03T12:37:48.779071","PRD-U1FW"
"PRD-RSVI-R46483","PRD-RSVI-R46483","Electric Toothbrush","Home","533","0","2024-02-03T12:39:35.633752","2024-02-03T12:39:35.633752","PRD-RSVI"
"PRD-QHG5-R921896","PRD-QHG5-R921896","Tennis Balls Pack","Sports","786","0","2024-02-03T12:44:54.608355","2024-02-03T12:44:54.608355","PRD-QHG5"
"PRD-ICTJ-R470852","PRD-ICTJ-R470852","Fitness Smart Band","Health","292","0","2024-02-03T12:51:17.331352","2024-02-03T12:51:17.331352","PRD-ICTJ"
"PRD-K82W-R520363","PRD-K82W-R520363","Vacuum Robot Cleaner","Home","339","0","2024-02-03T13:05:02.313594","2024-02-03T13:05:02.313594","PRD-K82W"
"PRD-YJC8-R233926","PRD-YJC8-R233926","Hooded Sweatshirt","Clothing","459","0","2024-02-03T13:09:17.521717","2024-02-03T13:09:17.521717","PRD-YJC8"
"PRD-XMMI-R168713","PRD-XMMI-R168713","Air Fryer 5L","Home","55","0","2024-02-03T13:12:53.920395","2024-02-03T13:12:53.920395","PRD-XMMI"
"PRD-STW0-R270395","PRD-STW0-R270395","Vacuum Robot Cleaner","Home","8","0","2024-02-03T13:24:33.166175","2024-02-03T13:24:33.166175","PRD-STW0"
"PRD-9HQM-R735037","PRD-9HQM-R735037","Casual Sneakers","Clothing","35","0","2024-02-03T13:30:59.726731","2024-02-03T13:30:59.726731","PRD-9HQM"
"PRD-EWUY-R72376","PRD-EWUY-R72376","LED Strip Lights 5m","Home","596","0","2024-02-03T13:38:04.298003","2024-02-03T13:38:04.298003","PRD-EWUY"
"PRD-SY9I-R776825","PRD-SY9I-R776825","Yoga Mat Non-Slip","Health","560","0","2024-02-03T13:41:33.102987","2024-02-03T13:41:33.102987","PRD-SY9I"
"PRD-RFNI-R541332","PRD-RFNI-R541332","Hooded Sweatshirt","Clothing","596","0","2024-02-03T13:55:43.754464","2024-02-03T13:55:43.754464","PRD-RFNI"
"PRD-P2W0-R622962","PRD-P2W0-R622962","Gaming Mechanical Keyboard RGB","Electronics","362","0","2024-02-03T14:05:18.552620","2024-10-27T10:58:52.883824","PRD-P2W0"
"PRD-AIG8-R718185","PRD-AIG8-R718185","Portable SSD 1TB","Electronics","665","0","2024-02-03T14:14:57.051271","2024-02-03T14:14:57.051271","PRD-AIG8"
"PRD-U1XA-R11047","PRD-U1XA-R11047","Running Shoes Air Zoom","Clothing","639","0","2024-02-03T14:21:30.062467","2024-02-03T14:21:30.062467","PRD-U1XA"
"PRD-QQ38-R736152","PRD-QQ38-R736152","Tennis Balls Pack","Sports","143","0","2024-02-03T14:33:12.802625","2024-02-03T14:33:12.802625","PRD-QQ38"
"PRD-Q7Y2-R316221","PRD-Q7Y2-R316221","Sports Bra High Impact","Clothing","807","0","2024-02-03T14:38:11.034404","2024-02-03T14:38:11.034404","PRD-Q7Y2"
"PRD-2NRE-R828461","PRD-2NRE-R828461","Baseball Cap","Clothing","764","0","2024-02-03T14:39:36.355418","2024-02-03T14:39:36.355418","PRD-2NRE"
"PRD-OT1K-R371513","PRD-OT1K-R371513","Wireless Mouse 2.4GHz","Electronics","535","0","2024-02-03T14:40:20.413754","2024-02-03T14:40:20.413754","PRD-OT1K"
"PRD-FWNL-R429960","PRD-FWNL-R429960","Air Fryer 5L","Home","102","0","2024-02-03T14:50:08.232815","2024-02-03T14:50:08.232815","PRD-FWNL"
"PRD-C6FC-R781160","PRD-C6FC-R781160","Tennis Balls Pack","Sports","209","0","2024-02-03T14:59:47.146583","2024-02-03T14:59:47.146583","PRD-C6FC"
"PRD-F3RC-R64722","PRD-F3RC-R64722","Badminton Racket","Sports","770","0","2024-02-03T16:03:42.132480","2024-02-03T16:03:42.132480","PRD-F3RC"
"PRD-OJ4Z-R873219","PRD-OJ4Z-R873219","Bedsheet Set Cotton","Home","966","0","2024-02-03T16:05:57.632097","2024-02-03T16:05:57.632097","PRD-OJ4Z"
"PRD-KM9P-R323974","PRD-KM9P-R323974","Hooded Sweatshirt","Clothing","23","0","2024-02-03T16:23:41.447536","2024-02-03T16:23:41.447536","PRD-KM9P"
"PRD-Y01V-R868453","PRD-Y01V-R868453","Screen Protector Tempered Glass","Electronics","712","0","2024-02-03T16:30:21.040628","2024-02-03T16:30:21.040628","PRD-Y01V"
"PRD-PWJ8-R992349","PRD-PWJ8-R992349","Coffee Maker Automatic","Home","736","0","2024-02-03T16:40:51.450136","2024-02-03T16:40:51.450136","PRD-PWJ8"
"PRD-QCT7-R116412","PRD-QCT7-R116412","Cotton T-Shirt Pack","Clothing","483","0","2024-02-03T16:48:14.818893","2024-02-03T16:48:14.818893","PRD-QCT7"
"PRD-7DBS-R325821","PRD-7DBS-R325821","Vitamin C Tablets","Health","420","0","2024-02-03T16:56:33.101077","2024-02-03T16:56:33.101077","PRD-7DBS"
"PRD-TBVH-R32722","PRD-TBVH-R32722","Screen Protector Tempered Glass","Electronics","109","0","2024-02-03T17:05:57.554883","2024-02-03T17:05:57.554883","PRD-TBVH"
"PRD-SVG3-R570384","PRD-SVG3-R570384","Wireless Mouse 2.4GHz","Electronics","6","0","2024-02-03T17:09:52.809519","2024-02-03T17:09:52.809519","PRD-SVG3"
"PRD-3GYB-R588210","PRD-3GYB-R588210","Wireless Bluetooth Earbuds","Electronics","475","0","2024-02-03T17:33:30.623712","2024-02-03T17:33:30.623712","PRD-3GYB"
"PRD-OO70-R95183","PRD-OO70-R95183","Water Bottle Insulated","Sports","793","0","2024-02-03T17:41:22.755071","2024-02-03T17:41:22.755071","PRD-OO70"
"PRD-X324-R127729","PRD-X324-R127729","Gaming Mechanical Keyboard RGB","Electronics","733","0","2024-02-03T17:47:55.834789","2024-02-03T17:47:55.834789","PRD-X324"
"PRD-1JGC-R172315","PRD-1JGC-R172315","Winter Jacket Waterproof","Clothing","868","0","2024-02-03T17:48:46.684279","2024-02-03T17:48:46.684279","PRD-1JGC"
"PRD-5AD4-R263073","PRD-5AD4-R263073","Hooded Sweatshirt","Clothing","673","0","2024-02-03T17:49:34.199508","2024-02-03T17:49:34.199508","PRD-5AD4"
"PRD-H61W-R564147","PRD-H61W-R564147","Exercise Ball","Sports","261","0","2024-02-03T18:14:05.166489","2024-02-03T18:14:05.166489","PRD-H61W"
"PRD-9ZVM-R162592","PRD-9ZVM-R162592","Yoga Pants Leggings","Clothing","79","0","2024-02-03T18:16:08.457472","2024-02-03T18:16:08.457472","PRD-9ZVM"
"PRD-WOUG-R779941","PRD-WOUG-R779941","Bedsheet Set Cotton","Home","987","0","2024-02-03T18:17:50.724827","2024-02-03T18:17:50.724827","PRD-WOUG"
"PRD-8M5X-R310166","PRD-8M5X-R310166","Yoga Mat Non-Slip","Health","279","0","2024-02-03T18:19:53.104542","2024-02-03T18:19:53.104542","PRD-8M5X"
"PRD-WUGP-R343883","PRD-WUGP-R343883","LED Strip Lights 5m","Home","248","0","2024-02-03T18:36:47.640621","2024-02-03T18:36:47.640621","PRD-WUGP"
"PRD-VX6T-R586570","PRD-VX6T-R586570","Coffee Maker Automatic","Home","857","0","2024-02-03T18:39:39.689996","2024-02-03T18:39:39.689996","PRD-VX6T"
"PRD-6HYZ-R162462","PRD-6HYZ-R162462","Vacuum Robot Cleaner","Home","482","0","2024-02-03T18:41:08.716924","2024-02-28T01:34:01.166889","PRD-6HYZ"
"PRD-JUVB-R108929","PRD-JUVB-R108929","Air Fryer 5L","Home","831","0","2024-02-03T18:48:05.023094","2024-02-03T18:48:05.023094","PRD-JUVB"
"PRD-RMMB-R560813","PRD-RMMB-R560813","Electric Toothbrush","Home","283","0","2024-02-03T19:01:52.335563","2024-02-03T19:01:52.335563","PRD-RMMB"
"PRD-I0HX-R337943","PRD-I0HX-R337943","Running Shoes Air Zoom","Clothing","446","0","2024-02-03T19:13:31.260765","2024-02-03T19:13:31.260765","PRD-I0HX"
"PRD-W1C3-R578387","PRD-W1C3-R578387","Vacuum Robot Cleaner","Home","492","0","2024-02-03T19:26:36.064301","2024-02-03T19:26:36.064301","PRD-W1C3"
"PRD-T19R-R906855","PRD-T19R-R906855","USB-C Fast Charger 65W","Electronics","896","0","2024-02-03T19:37:45.776149","2024-02-03T19:37:45.776149","PRD-T19R"
"PRD-VEEP-R733481","PRD-VEEP-R733481","Coffee Maker Automatic","Home","243","0","2024-02-03T19:41:57.115376","2024-02-03T19:41:57.115376","PRD-VEEP"
"PRD-J7LY-R712931","PRD-J7LY-R712931","Laptop Backpack Waterproof","Electronics","123","0","2024-02-03T19:42:28.666574","2024-02-03T19:42:28.666574","PRD-J7LY"
"PRD-R6Y7-R890797","PRD-R6Y7-R890797","Air Fryer 5L","Home","977","0","2024-02-03T20:00:17.986114","2024-02-03T20:00:17.986114","PRD-R6Y7"
"PRD-G7OT-R61730","PRD-G7OT-R61730","Winter Jacket Waterproof","Clothing","884","0","2024-02-03T20:00:36.393894","2024-02-03T20:00:36.393894","PRD-G7OT"
"PRD-NCPE-R27252","PRD-NCPE-R27252","Resistance Bands Set","Health","723","0","2024-02-03T20:21:17.952263","2024-02-03T20:21:17.952263","PRD-NCPE"
"PRD-TRGT-R870738","PRD-TRGT-R870738","Foam Roller","Health","160","0","2024-02-03T20:29:29.440803","2024-02-03T20:29:29.440803","PRD-TRGT"
"PRD-AQNU-R164584","PRD-AQNU-R164584","Wireless Mouse 2.4GHz","Electronics","4","0","2024-02-03T20:33:21.827650","2024-02-03T20:33:21.827650","PRD-AQNU"
"PRD-AJ3Q-R375752","PRD-AJ3Q-R375752","Winter Jacket Waterproof","Clothing","297","0","2024-02-03T20:47:15.582622","2024-02-03T20:47:15.582622","PRD-AJ3Q"
"PRD-HHSI-R454767","PRD-HHSI-R454767","Winter Jacket Waterproof","Clothing","842","0","2024-02-03T20:53:41.073689","2024-02-03T20:53:41.073689","PRD-HHSI"
"PRD-RFOA-R988559","PRD-RFOA-R988559","Tennis Balls Pack","Sports","327","0","2024-02-03T21:15:42.125574","2024-02-03T21:15:42.125574","PRD-RFOA"
"PRD-XJ6L-R91502","PRD-XJ6L-R91502","Tennis Balls Pack","Sports","896","0","2024-02-03T21:17:43.063291","2024-02-03T21:17:43.063291","PRD-XJ6L"
"PRD-SVI9-R260613","PRD-SVI9-R260613","4K Webcam Pro","Electronics","255","0","2024-02-03T21:19:28.827747","2024-02-03T21:19:28.827747","PRD-SVI9"
"PRD-954M-R918811","PRD-954M-R918811","Vacuum Robot Cleaner","Home","138","0","2024-02-03T21:28:57.550452","2024-02-03T21:28:57.550452","PRD-954M"
"PRD-T3Q0-R993367","PRD-T3Q0-R993367","LED Strip Lights 5m","Home","415","0","2024-02-03T21:38:51.299405","2024-02-03T21:38:51.299405","PRD-T3Q0"
"PRD-428Q-R904187","PRD-428Q-R904187","USB-C Fast Charger 65W","Electronics","701","0","2024-02-03T21:48:56.795361","2024-02-03T21:48:56.795361","PRD-428Q"
"PRD-CRVY-R909939","PRD-CRVY-R909939","Fitness Smart Band","Health","390","0","2024-02-03T21:49:02.085038","2024-02-03T21:49:02.085038","PRD-CRVY"
"PRD-G7HK-R57664","PRD-G7HK-R57664","Jump Rope Speed","Sports","262","0","2024-02-03T21:55:56.454016","2024-02-03T21:55:56.454016","PRD-G7HK"
"PRD-M66O-R193493","PRD-M66O-R193493","Exercise Ball","Sports","520","0","2024-02-03T22:01:30.086827","2024-02-03T22:01:30.086827","PRD-M66O"
"PRD-D93W-R175527","PRD-D93W-R175527","LED Strip Lights 5m","Home","898","0","2024-02-03T22:18:14.198323","2024-02-03T22:18:14.198323","PRD-D93W"
"PRD-XJU5-R800780","PRD-XJU5-R800780","Fitness Smart Band","Health","204","0","2024-02-03T22:23:52.924401","2024-02-03T22:23:52.924401","PRD-XJU5"
"PRD-4VRU-R192812","PRD-4VRU-R192812","Swimming Goggles","Sports","401","0","2024-02-03T22:37:18.687848","2024-02-03T22:37:18.687848","PRD-4VRU"
"PRD-KVEI-R400031","PRD-KVEI-R400031","Swimming Goggles","Sports","42","0","2024-02-03T22:37:39.756267","2024-02-03T22:37:39.756267","PRD-KVEI"
"PRD-NQTO-R467784","PRD-NQTO-R467784","Treadmill Folding","Sports","851","0","2024-02-03T22:59:45.699958","2024-02-03T22:59:45.699958","PRD-NQTO"
"PRD-F4YU-R936578","PRD-F4YU-R936578","Yoga Pants Leggings","Clothing","758","0","2024-02-03T23:01:33.833650","2024-02-03T23:01:33.833650","PRD-F4YU"
"PRD-J23B-R117679","PRD-J23B-R117679","Laptop Backpack Waterproof","Electronics","395","0","2024-02-03T23:18:55.025798","2024-02-03T23:18:55.025798","PRD-J23B"
"PRD-G2T0-R930433","PRD-G2T0-R930433","4K Webcam Pro","Electronics","533","0","2024-02-03T23:33:08.581120","2024-02-03T23:33:08.581120","PRD-G2T0"
"PRD-RDLQ-R171229","PRD-RDLQ-R171229","Protein Shaker Bottle","Health","663","0","2024-02-03T23:56:11.006124","2024-02-03T23:56:11.006124","PRD-RDLQ"
"PRD-9YT8-R11977","PRD-9YT8-R11977","LED Strip Lights 5m","Home","606","0","2024-02-04T00:02:27.528937","2024-02-04T00:02:27.528937","PRD-9YT8"
"PRD-OUS9-R942849","PRD-OUS9-R942849","Jump Rope Speed","Sports","913","0","2024-02-04T00:14:40.904169","2024-02-04T00:14:40.904169","PRD-OUS9"
"PRD-VP42-R281691","PRD-VP42-R281691","Yoga Mat Non-Slip","Health","633","0","2024-02-04T00:14:55.104282","2024-02-04T00:14:55.104282","PRD-VP42"
"PRD-VLLT-R150471","PRD-VLLT-R150471","USB-C Fast Charger 65W","Electronics","280","0","2024-02-04T00:19:54.086334","2024-02-04T00:19:54.086334","PRD-VLLT"
"PRD-B3KK-R214957","PRD-B3KK-R214957","Digital Thermometer","Health","574","0","2024-02-04T00:20:14.670454","2024-02-04T00:20:14.670454","PRD-B3KK"
"PRD-V22X-R463693","PRD-V22X-R463693","Wireless Bluetooth Earbuds","Electronics","701","0","2024-02-04T00:43:42.470146","2024-02-04T00:43:42.470146","PRD-V22X"
"PRD-8Y2N-R243610","PRD-8Y2N-R243610","4K Webcam Pro","Electronics","372","0","2024-02-04T00:49:43.503183","2024-02-04T00:49:43.503183","PRD-8Y2N"
"PRD-6CBX-R338975","PRD-6CBX-R338975","Desk Lamp LED","Home","219","0","2024-02-04T00:53:25.297313","2024-02-04T00:53:25.297313","PRD-6CBX"
"PRD-M45W-R283860","PRD-M45W-R283860","4K Webcam Pro","Electronics","337","0","2024-02-04T01:14:35.588195","2024-02-04T01:14:35.588195","PRD-M45W"
"PRD-1AUQ-R768492","PRD-1AUQ-R768492","USB-C Fast Charger 65W","Electronics","568","0","2024-02-04T01:20:02.090871","2024-02-04T01:20:02.090871","PRD-1AUQ"
"PRD-L1JA-R550250","PRD-L1JA-R550250","Winter Jacket Waterproof","Clothing","443","0","2024-02-04T01:21:25.556208","2024-02-04T01:21:25.556208","PRD-L1JA"
"PRD-CSI3-R603452","PRD-CSI3-R603452","Sports Bra High Impact","Clothing","439","0","2024-02-04T01:22:18.309490","2024-02-04T01:22:18.309490","PRD-CSI3"
"PRD-GSAS-R217986","PRD-GSAS-R217986","Water Bottle Insulated","Sports","782","0","2024-02-04T01:30:00.302671","2024-02-04T01:30:00.302671","PRD-GSAS"
"PRD-RXXC-R76261","PRD-RXXC-R76261","Desk Lamp LED","Home","501","0","2024-02-04T01:45:55.042607","2024-02-04T01:45:55.042607","PRD-RXXC"
"PRD-KZ7F-R867970","PRD-KZ7F-R867970","Sports Bra High Impact","Clothing","554","0","2024-02-04T01:51:06.513845","2024-02-04T01:51:06.513845","PRD-KZ7F"
"PRD-A6N2-R33808","PRD-A6N2-R33808","Winter Jacket Waterproof","Clothing","996","0","2024-02-04T01:55:14.104223","2024-02-04T01:55:14.104223","PRD-A6N2"
"PRD-MO0U-R92817","PRD-MO0U-R92817","Yoga Pants Leggings","Clothing","867","0","2024-02-04T02:11:19.071318","2024-02-04T02:11:19.071318","PRD-MO0U"
"PRD-OWMI-R345735","PRD-OWMI-R345735","Foam Roller","Health","656","0","2024-02-04T02:25:35.827002","2024-02-04T02:25:35.827002","PRD-OWMI"
"PRD-F876-R342905","PRD-F876-R342905","Vacuum Robot Cleaner","Home","367","0","2024-02-04T02:36:40.447356","2024-02-04T02:36:40.447356","PRD-F876"
"PRD-TVX1-R849406","PRD-TVX1-R849406","Desk Lamp LED","Home","25","0","2024-02-04T02:52:27.108831","2024-02-04T02:52:27.108831","PRD-TVX1"
"PRD-HQWL-R608617","PRD-HQWL-R608617","Storage Box Set","Home","319","0","2024-02-04T02:52:40.308373","2024-02-04T02:52:40.308373","PRD-HQWL"
"PRD-2PKZ-R274351","PRD-2PKZ-R274351","Sports Bra High Impact","Clothing","704","0","2024-02-04T03:10:55.770303","2024-02-04T03:10:55.770303","PRD-2PKZ"
"PRD-KOKY-R4635","PRD-KOKY-R4635","Dumbbells Set Adjustable","Sports","396","0","2024-02-04T04:04:01.604501","2024-02-04T04:04:01.604501","PRD-KOKY"
"PRD-05T0-R581422","PRD-05T0-R581422","USB-C Fast Charger 65W","Electronics","465","0","2024-02-04T04:08:45.318223","2024-02-04T04:08:45.318223","PRD-05T0"
"PRD-SZGP-R977046","PRD-SZGP-R977046","USB Hub 7-Port","Electronics","73","0","2024-02-04T04:10:12.346381","2024-02-04T04:10:12.346381","PRD-SZGP"
"PRD-O0SX-R128847","PRD-O0SX-R128847","Wireless Bluetooth Earbuds","Electronics","251","0","2024-02-04T04:24:09.454875","2024-02-04T04:24:09.454875","PRD-O0SX"
"PRD-ASNP-R834605","PRD-ASNP-R834605","Swimming Goggles","Sports","714","0","2024-02-04T04:24:32.747585","2024-02-04T04:24:32.747585","PRD-ASNP"
"PRD-JIDF-R197223","PRD-JIDF-R197223","Electric Toothbrush","Home","308","0","2024-02-04T04:25:18.732587","2024-02-04T04:25:18.732587","PRD-JIDF"
"PRD-LDBQ-R483566","PRD-LDBQ-R483566","Yoga Pants Leggings","Clothing","600","0","2024-02-04T04:26:06.202404","2024-02-04T04:26:06.202404","PRD-LDBQ"
"PRD-0XMD-R920277","PRD-0XMD-R920277","Casual Sneakers","Clothing","49","0","2024-02-04T04:50:54.512552","2024-02-04T04:50:54.512552","PRD-0XMD"
"PRD-4OEP-R899522","PRD-4OEP-R899522","Gaming Mechanical Keyboard RGB","Electronics","314","0","2024-02-04T05:22:26.401064","2024-02-04T05:22:26.401064","PRD-4OEP"
"PRD-9XKQ-R69933","PRD-9XKQ-R69933","Swimming Goggles","Sports","737","0","2024-02-04T05:31:37.125944","2024-02-04T05:31:37.125944","PRD-9XKQ"
